Date,Open,High,Low,Close,Adj Close,Volume
2024-04-17,88.870003,89.379997,88.459999,89.279999,88.384224,57947000
2024-04-18,89.239998,89.269997,88.589996,88.830002,87.938736,43839500
2024-04-19,89.389999,89.389999,88.910004,89.150002,88.255524,44808000
2024-04-22,88.680000,89.120003,88.650002,89.000000,88.107033,24969000
2024-04-23,88.730003,89.540001,88.550003,89.029999,88.136726,27222700
2024-04-24,88.559998,88.629997,87.500000,88.400002,87.513046,48986800
2024-04-25,87.459999,87.900002,87.339996,87.779999,86.899269,49282600
2024-04-26,88.250000,88.610001,88.050003,88.239998,87.354652,31589800
2024-04-29,88.660004,89.019997,88.480003,88.980003,88.087234,39228600
2024-04-30,88.419998,88.730003,88.099998,88.220001,87.334862,41054700
2024-05-01,88.599998,89.209999,88.239998,88.559998,87.978600,59679500
2024-05-02,88.209999,89.010002,88.029999,88.940002,88.356102,58925400
2024-05-03,89.930000,90.120003,89.269997,89.839996,89.250191,50066100
2024-05-06,89.870003,90.250000,89.669998,90.190002,89.597900,23868200
2024-05-07,90.900002,91.239998,90.610001,90.739998,90.144287,30525800
2024-05-08,90.309998,90.459999,90.160004,90.190002,89.597900,31171700
2024-05-09,89.870003,90.769997,89.820000,90.629997,90.035011,39606700
2024-05-10,90.279999,90.379997,89.959999,90.120003,89.528358,21913800
2024-05-13,90.550003,90.610001,90.309998,90.349998,89.756851,23157500
2024-05-14,90.650002,90.919998,90.419998,90.860001,90.263504,25746400
2024-05-15,91.870003,92.260002,91.629997,92.099998,91.495361,65142900
2024-05-16,92.389999,92.419998,91.940002,92.010002,91.405960,37902400
2024-05-17,91.639999,91.800003,91.339996,91.389999,90.790016,24755000
2024-05-20,91.080002,91.320000,91.010002,91.120003,90.521805,17922800
2024-05-21,91.730003,91.769997,91.430000,91.589996,90.988701,15334400
2024-05-22,91.269997,91.779999,91.260002,91.699997,91.097977,38073700
2024-05-23,91.800003,91.800003,90.820000,91.110001,90.511864,51294700
2024-05-24,90.970001,91.470001,90.900002,91.379997,90.780083,19151400
2024-05-28,91.330002,91.360001,90.029999,90.070000,89.478691,45973700
2024-05-29,89.339996,89.400002,88.680000,88.980003,88.395851,45508400
2024-05-30,89.599998,89.970001,89.440002,89.839996,89.250191,29571700
2024-05-31,90.480003,90.660004,90.250000,90.449997,89.856194,41308800
2024-06-03,90.639999,91.669998,90.610001,91.599998,91.309570,42272100
2024-06-04,92.199997,92.800003,91.989998,92.669998,92.376175,42581500
2024-06-05,93.000000,93.349998,92.389999,93.349998,93.054024,43153900
2024-06-06,92.919998,93.430000,92.860001,93.209999,92.914467,22891900
2024-06-07,91.830002,91.830002,91.400002,91.500000,91.209892,35240500
2024-06-10,91.000000,91.059998,90.650002,90.889999,90.601822,20593200
2024-06-11,91.029999,91.870003,90.919998,91.830002,91.538841,30329200
2024-06-12,93.019997,93.570000,92.489998,92.519997,92.226654,42554600
2024-06-13,93.220001,93.989998,92.949997,93.879997,93.582344,33093800
2024-06-14,94.419998,94.839996,94.239998,94.669998,94.369835,28776700
2024-06-17,93.519997,93.809998,93.279999,93.730003,93.432823,31040200
2024-06-18,93.889999,94.599998,93.730003,94.589996,94.290085,26881000
2024-06-20,93.410004,94.000000,93.339996,93.959999,93.662086,30246300
2024-06-21,94.239998,94.480003,93.589996,93.959999,93.662086,22830900
2024-06-24,94.050003,94.339996,93.739998,94.339996,94.040878,56939100
2024-06-25,94.070000,94.550003,94.040001,94.500000,94.200378,23160000
2024-06-26,93.279999,93.470001,93.110001,93.150002,92.854660,38489100
2024-06-27,93.519997,93.709999,93.419998,93.519997,93.223480,23140800
2024-06-28,93.730003,93.769997,91.779999,91.779999,91.488998,55119600
2024-07-01,90.419998,91.080002,89.820000,89.910004,89.910004,49735400
2024-07-02,90.680000,90.809998,90.080002,90.610001,90.610001,34204700
2024-07-03,91.169998,91.889999,91.089996,91.800003,91.800003,35563300
2024-07-05,92.269997,92.730003,91.900002,92.559998,92.559998,34895500
2024-07-08,92.540001,92.849998,92.220001,92.760002,92.760002,16095700
2024-07-09,92.470001,92.680000,91.870003,92.349998,92.349998,30289800
2024-07-10,92.449997,92.680000,92.260002,92.639999,92.639999,23572500
2024-07-11,93.680000,94.139999,93.470001,93.540001,93.540001,49761800
2024-07-12,93.529999,93.940002,93.339996,93.940002,93.940002,27783800
2024-07-15,93.000000,93.300003,92.779999,92.860001,92.860001,37918900
2024-07-16,93.529999,94.209999,93.389999,94.169998,94.169998,36341000
