Date,Open,High,Low,Close,Volume
3/11/2024,86.43,88.8,84.17,85.77,67836412
3/12/2024,88.05,91.96,86.15,91.91,66807515
3/13/2024,91.06,91.5,88.44,90.89,63571289
3/14/2024,89.58,90.65,86.6,87.94,60231816
3/15/2024,86.93,89.55,86.26,87.84,64208616
3/18/2024,90.39,92.41,87.09,88.46,66897593
3/19/2024,86.7,90.54,85.01,89.4,67217127
3/20/2024,89.8,90.41,88.22,90.37,47906279
3/21/2024,92.3,92.65,90.41,91.44,48037231
3/22/2024,91.14,94.78,90.83,94.29,58671936
3/25/2024,93.94,96.77,93.51,95,55213608
3/26/2024,95.85,96.38,92.5,92.56,51364758
3/27/2024,93.11,93.24,89.12,90.25,58606723
3/28/2024,90,91.3,89.19,90.36,43521227
4/1/2024,90.3,92.23,89.2,90.36,45244149
4/2/2024,88.45,90.09,87.62,89.45,43306355
4/3/2024,88.48,90.37,88.4,88.96,37006655
4/4/2024,90.41,90.63,85.88,85.91,43496492
4/5/2024,86.87,88.48,85.93,88.01,39967846
4/8/2024,88.7,88.83,86.73,87.13,28322000
4/9/2024,87.44,87.64,83.02,85.35,50354735
4/10/2024,83.93,87.4,83.71,87.04,43192853
4/11/2024,87.42,90.74,86.93,90.62,43163727
4/12/2024,89.7,90.17,87.53,88.19,42680479
4/15/2024,89.1,90.61,85.93,86,44307695
4/16/2024,86.43,88.12,86.06,87.42,37045302
4/17/2024,88.34,88.78,83.95,84.04,49539951
4/18/2024,84.97,86.19,82.4,84.67,44726034
4/19/2024,83.15,84.32,75.61,76.2,87519800
4/22/2024,78.1,80.07,76.4,79.52,59634051
4/23/2024,80.77,82.77,80.26,82.42,43855937
4/24/2024,83.95,84.08,79.18,79.68,51220753
4/25/2024,78.87,83.32,78.22,82.63,42464073
4/26/2024,83.82,88.33,83.39,87.74,55101078
4/29/2024,87.6,87.99,85.27,87.76,38897076
4/30/2024,87.24,88.82,86.3,86.4,36370870
5/1/2024,85.08,86,81.25,83.04,55986317
5/2/2024,84.45,86.24,83.2,85.82,37789754
5/3/2024,87.79,89.28,87.04,88.79,39834072
5/6/2024,89.39,92.22,89.06,92.14,37620255
5/7/2024,91.1,91.78,89.01,90.55,43734161
5/8/2024,89.48,91.19,89.42,90.41,32572102
5/9/2024,90.53,91.07,88.23,88.75,37801268
5/10/2024,90.3,91.4,89.23,89.88,33532541
5/13/2024,90.48,91,88.53,90.4,28968017
5/14/2024,89.6,91.65,88.93,91.36,29650708
5/15/2024,92.47,94.86,91.6,94.63,41773545
5/16/2024,94.91,95.82,94.1,94.36,32395182
5/17/2024,94.37,94.74,91.81,92.48,35969103
5/20/2024,93.75,95.2,93.44,94.78,31876446
5/21/2024,93.6,95.4,93.18,95.39,32894646
5/22/2024,95.46,96.02,93.25,94.95,54864799
5/23/2024,102.03,106.32,101.52,103.8,83506528
5/24/2024,104.45,106.48,103,106.47,42949367
5/28/2024,110.24,114.94,109.88,113.9,65272789
